USB PD Specification - Table Structure Summary
==================================================

Table No.  Page   Rows   Columns  Expected Cells  Actual Cells   
356        464    3      3        9               3              
357        464    3      2        6               4              
358        464    2      3        6               2              
359        464    2      2        4               3              
360        465    15     3        45              32             
361        466    4      3        12              10             
362        467    27     17       459             33             
363        467    2      3        6               3              
364        467    3      3        9               3              
365        467    3      2        6               4              
366        467    2      3        6               2              
367        468    15     3        45              32             
368        469    4      3        12              10             
369        470    43     12       516             54             
370        470    3      2        6               2              
371        470    3      2        6               2              
372        470    3      2        6               2              
373        471    16     3        48              34             
374        472    16     3        48              35             
375        473    42     15       630             55             
376        473    3      2        6               2              
377        473    3      2        6               2              
378        473    3      2        6               2              
379        473    3      2        6               2              
380        474    16     3        48              35             
381        475    16     3        48              34             
382        476    37     15       555             52             
383        476    3      2        6               2              
384        476    3      2        6               2              
385        476    3      2        6               2              
386        476    3      2        6               2              
387        477    16     3        48              35             
388        478    15     3        45              32             
389        480    71     22       1562            99             
390        480    2      2        4               1              
391        480    2      2        4               2              
392        480    2      2        4               2              
393        480    2      2        4               2              
394        480    2      4        8               3              
395        480    2      2        4               2              
396        481    16     3        48              35             
397        482    18     3        54              40             
398        483    7      3        21              15             
399        484    50     23       1150            73             
400        484    2      3        6               2              
401        484    2      2        4               2              
402        485    16     3        48              35             
403        486    13     3        39              30             
404        487    50     23       1150            73             
405        487    2      3        6               3              
406        487    2      2        4               2              
407        488    16     3        48              35             
408        489    13     3        39              30             
409        490    3      3        9               3              
410        490    35     14       490             38             
411        490    2      3        6               2              
412        490    3      3        9               3              
413        490    3      2        6               2              
414        490    2      2        4               2              
415        490    2      3        6               3              
416        490    2      3        6               2              
417        490    3      2        6               2              
418        491    15     3        45              32             
419        492    6      3        18              13             
420        493    7      7        49              8              
421        493    2      2        4               2              
422        493    3      3        9               3              
423        493    3      6        18              1              
424        494    18     3        54              39             
425        495    4      3        12              7              
426        496    17     9        153             17             
427        496    3      2        6               2              
428        497    18     3        54              38             
429        498    4      3        12              7              
430        499    42     17       714             50             
431        499    2      3        6               2              
432        499    3      2        6               2              
433        499    3      2        6               4              
434        499    2      2        4               2              
435        499    2      2        4               3              
436        499    2      3        6               2              
437        499    2      2        4               2              
438        499    2      3        6               2              
439        499    2      4        8               3              
440        500    14     3        42              31             
441        501    16     3        48              32             
442        502    24     16       384             29             
443        502    2      3        6               2              
444        502    3      3        9               3              
445        502    3      2        6               4              
446        502    2      3        6               2              
447        502    2      2        4               3              
448        503    15     3        45              32             
449        504    4      3        12              10             
450        505    27     17       459             33             
451        505    2      3        6               3              
452        505    3      3        9               3              
453        505    3      2        6               4              
454        505    2      3        6               2              
455        506    15     3        45              33             
456        507    4      3        12              10             
457        508    3      2        6               3              
458        508    3      3        9               4              
459        508    3      3        9               3              
460        508    2      3        6               3              
461        508    2      2        4               2              
462        508    5      5        25              5              
463        508    3      2        6               2              
464        509    17     3        51              37             
465        510    3      3        9               6              
466        511    3      2        6               4              
467        511    13     9        117             16             
468        511    3      3        9               4              
469        511    3      3        9               3              
470        511    2      2        4               2              
471        511    2      2        4               2              
472        511    2      3        6               2              
473        511    3      2        6               2              
474        512    18     3        54              40             
475        513    3      3        9               6              
476        514    3      3        9               3              
477        514    3      2        6               2              
478        514    2      2        4               2              
479        514    2      2        4               2              
480        514    3      2        6               2              
481        514    3      2        6               1              
482        514    2      2        4               2              
483        514    2      4        8               5              
484        514    2      2        4               2              
485        514    2      2        4               1              
486        514    4      4        16              5              
487        514    3      3        9               2              
488        514    2      2        4               2              
489        515    16     3        48              35             
490        516    14     3        42              31             
491        517    18     11       198             29             
492        517    3      3        9               3              
493        517    2      2        4               2              
494        517    2      2        4               2              
495        517    2      2        4               2              
496        517    3      2        6               2              
497        517    3      2        6               2              
498        517    3      2        6               3              
499        517    2      2        4               2              
500        517    2      2        4               2              
501        517    3      2        6               2              
502        518    16     3        48              35             
503        519    14     3        42              30             
504        520    38     15       570             46             
505        520    3      3        9               3              
506        520    3      2        6               2              
507        520    2      2        4               2              
508        520    2      2        4               2              
509        520    2      2        4               2              
510        520    5      4        20              3              
511        520    2      2        4               2              
512        520    3      2        6               3              
513        520    4      4        16              5              
514        520    3      2        6               2              
515        521    17     3        51              38             
516        522    16     3        48              34             
517        523    7      3        21              15             
